,IC,Description,Detailed Description,,
1,MCP6442-E/SN-ND,IC CMOS 2 CIRCUIT 8SOIC,CMOS Amplifier 2 Circuit Rail-to-Rail 8-SOIC,B6,
2,"OPA349UA
OPA380AIDGKT","IC OPAMP GP 1 CIRCUIT 8SOIC
Precesion OPAPMP","General Purpose Amplifier 1 Circuit Rail-to-Rail
8-SOIC",B4,
3,CD74HC4051E,"IC MUX/DEMUX 8:1 130OHM 16DIP
10 Ohm 8:1SMD
DIP",,,
4,AD7714ANZ-5-ND,IC ADC 24BIT SIGMA-DELTA 24DIP,"24 Bit Analog to Digital Converter 3- 
5 Input 1 Sigma-Delta",B3,
5,CD4052BE,IC MUX/DEMUX DUAL 4:1 16DIP,,,
6,CD74HC4053E,IC MUX/DEMUX TRIPLE 2:1 16DIP,,,
7,CD4067BM,IC MUX/DEMUX 16:1 24SOIC,,,
8,INA126PA,IC INST AMP 1 CIRCUIT 8DIP,Instrumentation Amplifier 1 Circuit 8-PDIP,B9,
9,LM324DR2G,IC OPAMP GP 4 CIRCUIT 14SOIC,General Purpose Amplifier 4 Circuit 14-SOIC,,
10,TSU111IYLT,NANOPOWER (900 NA) HIGH ACCURACY,CMOS Amplifier 1 Circuit Rail-to-Rail SOT-23-5,,
11,TL084CPWR,IC OPAMP JFET 4 CIRCUIT 14TSSOP,Instrumentation Amplifier 1 Circuit 8-PDIP,B8,
12,FDC1004QDGSTQ1,Capacitive Touch Proximity Detector 10-VSSOP,,B7,
13,INA823DT,"PRECISION (100 UV)- LOW-POWER- 
WIDE-SUPPLY INA",Instrumentation Amplifier 1 Circuit 8-SOIC,B5,
14,PD204-6B,SENSOR PHOTODIODE 940NM RADIAL,,,
15,LTE-4208,IR LED,EMITTER IR 940NM 50MA T 1 3/4,,
16,MCP6242-E/P,OP-AMP- 1.8 V- 200 KHz- DUAL- PDIP8,A1,,
17,MAX4477AUA+7 OP-AMP,10MHZ- -40TO125 DEG C,A2,,
18,MAX4196ESA+,INA- 340 KHz- 115 dB- NSOIC-8,A3,,
19,"MCP601 - E/P
MCP6002 - I/SN","OP-AMP- CMOS- SINGLE- 2.7V- 8-DIP
2-channel Low-power op-amp- 1 MHz",A4,,
20,LM324DT OP-AMP,QUAD- 1.3MHZ- 0.4V/US- SOIC-14,B1,,
21,MC33172VDR2G OP-AMP,DUAL- 1.8 MHZ- 2.1 V/US- SOIC-8,B2,,
22,CD4016BE IC,CMOS QUAD SWITCH- PDIP14- 18V,A5,, 
23,MCP606-I/P IC,OP-AMP- SINGLE 25 UA- DIP8- 606,A6,,
24,CHIP RESISTOR- 4K99,1%- 0.1W- 0603- THICK FILM,A7,,
25,CHIP RESISTOR- 10R,1%- 0.1W- 0603- THICK FILM,A8,,
26,CHIP RESISTOR- 200R,1%- 0.1W- 0603- THICK FILM,A9,,
27,CHIP RESISTOR- 2K,1%- 0.063W- 0402- THICK FILM,A10,,
28,CHIP RESISTOR- 1K,1%- 0.1W- 0402- THICK FILM,A11,,
29,CHIP RESISTOR- 47K,1%- 0.063W- 0402- THICK FILM,A12,,
30,CHIP RESISTOR- 200K,1%- 0.063W- 0402- THICK FILM,A13,,
31,CHIP RESISTOR- 100K,1%- 0.1W- 0603- THICK FILM,A14,,
32,CHIP RESISTOR- 10K,5%- 0.1W- 0603- THICK FILM,A15,,
33,CHIP RESISTOR- 56K,1%- 0.1W- 0603- THICK FILM,A16,,
34,CHIP RESISTOR- 200R,1%- 0.063W- 0402- THICK FILM,A17,,
35,CHIP RESISTOR- 22R,1%- 0.063W- 0402- THICK FILM,A18,,
36,CHIP RESISTOR- 6K8,1%- 0.1W- 0603- THICK FILM,A19,,
37,CHIP RESISTOR- 1M,1%- 0.1W- 0603- THICK FILM,A20,,
38,"ANALOG SWITCH 
(TS5A4624DCKR)",SPDT- SC-70- 6PIN,A21,,
39,"BILATERAL SWITCH 
(CD4066BM96)",QUAD- SOIC-14,A22,,
40,CAPACITOR - 1000 pF,50V- 10%- X7R- 0805,A23,,
41,CAPACITOR- 1000 pF,50V- 10%- X7R- 0603,A24,,
42,CAPACITOR- 1uF,16V- 10%- X7R- 0603,A25,,
43,CAPACITOR- 4.7 uF,16V- 10%- X7R- 0805,A26,,
44,CAPACITOR- 0.047 uF,50 V- 10%- X7R- 0603,A27,,
45,CAPACITOR- 12 pF,50 V- 5%- C0G/NP0- 0603,A28,, 
46,CAPACITOR - 22 uF,6.3 V-20%- X5R- 0805,A29,,
47,CAPACITOR- 470 pF,50 V- 10%- X7R- 0603,A30,,
48,CAPACITOR- 1000 pF,50 V- 10%- X7R- 0402,A31,,
49,CAPACITOR- 100 pF,50 V- 5%- C0G/NP0- 0402,A32,,
50,CAPACITOR- 6800 pF,50 V- 10%- X7R- 0603,A33,,
51,CAPACITOR- 0.1 uF,100 V- 10%- X7S- 0603,A34,,
52,CAPACITOR- 0.22 uF,50 V- 10%- X7R- 0603,A35,,
53,CAPACITOR- 47 uF,10 V- 20%- X5R- 1206,A36,,
54,CAPACITOR- 1 uF,6.3 V- 10%- X5R- 0402,A37,,
55,CAPACITOR - 1000 pF,50V- 10%- X7R- 0805,A38,,
56,CAPACITOR - 18 pF,50 V- 5%- C0G/NP0- 0603,A39,,
57,CAPACITOR - 10 pF,50 V- 5%- C0G/NP0- 0603,A40,,
58,CAPACITOR - 3900 pF,50 V- 10%- X7R- 0603,A41,,
59,CAPACITOR - 2200 pF,50 V- 5%- C0G/NP0- 0805,A42,,
60,LTC1151 CSW,Dual +/- 15V Zero drift operational amplifier,B10,,
61,LTC1047 CSW,Dual Micropower zero drift opamp with internal capacitors,B11,,
62,LTC1049 ,Low Power Zero-Drift Operational Amplifier with Internal Capacitors,B12,,
63,MC14541BCP,Programmable Timer,B13,,
64,Miscellaneous,"Seeeduino - 3
MAX4466 - 2
LT1026 - 1
MAX4053 - 1 
LT1024 - 2
PS2401 - 1
AD844 - 1
LS86N - 1
FOD4208 - 1
CD4070 - 1
AD521
Analog Devices box (different ICs)",B14,,
65,CD4042BEE4 and CD4042BPW,CMOS Quad Clocked 'D' Latch_SMD and DIP,C1,,
66,LM8261M5X/NOPB,Operational Amplifiers - Op Amps Single&nbsp;30-V&nbsp;21-MHz,C2,,
67,CD4066BE and CD4066BQDRQ1,Analogue Switch ICs AC CMOS Quad Bi- lateral Switch _ SMD and DIP,C3,,
68,CD4024,CMOS 7-Stage Ripple-Carry Binary Counter/Divider,C4,,
69,"CD4053
CD4051BM96
74HC04D- 653
 MAX4617ESE+T 
MAX4617CPE","3-channel analog multiplexer
8:1 multiplexer
Inverter
8:1 multiplexer
8:1 multiplexer",C5,,
70," BAT-HLD-001
CR2032 ","Coin Cell Battery Holders
SMD battery holder",C6,,
71,"Ceramic Capacitor
200pF- 0402 
390pF- 0402
400pF
820pF- 0402
1600pF
3200pF
3300pF- 0402",Ceramic Capacitor SMD,C7,,
72,"Ceramic Capacitor
0.022 uF
0.0033 uF
6500 pF
10 uF 0603",Ceramic Capacitor SMD,C8,,
73,"Chip Resistor
68 ohm- 0402
100 ohm- 0603
180 Kohm- 0402
360 Kohm- 0402
100 Kohm- 0402
110 ohm- 0805
80 ohm- 0805
300 ohm- 0603
680 ohm- 0805
90 ohm- 0402
150 ohm- 0201
82 Kohm- 0805
",Chip Resistor,C9,,
74,"Chip Resistor
1 Mohm- 0402
2 Mohm- 0603
3 Mohm- 0603
",Chip Resistor,C10,,
75,"Potentiometer
10K
20K
50K
100K
200K
500K
1000K
2000K",TRIM POT,C11,,
76,"ADG333ABNZ (BOX)
ADG409BNZ (BOX)
ADG408BNZ (BOX)
DG212BDJ-E3 (BOX)
MAX4634EUB+T
DG2034EDQT1GE3
MAX4581CEE+
74HC4067PW","SPDT- Analog Switch
Multiplexer (SP4T)
IC MUX 8:1 (Multiplexer)
Quad SPST
MUX 4:1 (SMD)
MUX 4:1 (SMD)
MUX 8:1 (SMD)
MUX 16:1 (SMD)","S1
",,
77,"DG468DV-T1E3
PI5A3157CEX
MAX4659EUA+
DG470EYT1E3
MAX4594ELT+T","Analog Switch SPST (SMD)
Analog Switch SPDT (SMD)
Analog Switch SPDT (SMD)
Analog Switch SPDT (SMD)
Analog Switch SPST (SMD)",S2,,
78,"INA333AIDGKR
AD8233ACBZ-R7
1541201EEA400 (PhotoDiode)
MCP3564R-E/ST
MCP4018T-103E/LT
BP 104 FASR-Z (Photodiode)
VEMD8081 (Photodiode)
STM32F373C8T6","INA Rail-to-rail
IC ECG FRONT END 20WLCSP
Non Amplified Photodiode- 1206- 940nm
ADC 24BIT SIGMA-DELTA 20TSSOP
Digital Potentiometer 10k Ohm 
Photodiode 880nm 
Photodiode 840nm 
MCU 32 bit CORTEX M4F 72 MHz","S3
S3
S3 (box)
S3
S3
S3 (box)
S3
S3",,
79,"OIS-330 740-X-T
AD8232ACPZ-R7
AD621ANZ
AD5242BRUZ1M
MCP4018T-502E/LT
MCP4018T-503E/LT
MCP4018T-104E/LT
15406085BA400A
MCP3464-E/ST","Infrared (IR) Emitter 740nm
IC ECG FRONT END 20LFCSP
INA 800 KHz        
Digital Potentiometer 1M Ohm 2 Circuit
Digital Potentiometer 5k Ohm 1 Circuit
Digital Potentiometer 50k
Digital Potentiometer 100k
Infrared (IR) Emitter 850nm
ADC 16BIT SIGMA-DELTA 20TSSOP","S4
S4
S4
S4
S4
S4
S4
S4
S4",,
80,MCP1700T-5002E/TT,5V LDO,S5,,
81,ADG706BRUZ,16*1 MUX 10Ohm Ron,S6,,
82,CD4067BM, 16*1 MUX 125 Ron ,A43,,
