S. No,IC
1,CAPACITOR 1206 - 20 pF
2,CAPACITOR 1206 - 30 pF
3,TPS 79633
4,SMD LED 1206
5,CAPACITOR 1206 - 3.3 pF
6,CAPACITOR 22 uF SMD
7,CAPACITOR 22 uF Radial
8,SMA Connector
9,OP 27
10,FERRITE BEAD 100 Mhz
11,CAPACITOR 0.1 uF Tantulum
12,RESISTOR 499 Ohms - 1206
13,RESISTOR 49.9 Ohms - 1206
14,CAPACITOR 10 pF SMD - 1206
15,CAPACITOR 47 pF SMD - 1206
16,CAPACITOR 10 uF SMD - 1206
17,CAPACITOR 1 uF SMD - 1206
18,CAPACITOR 0.1 uF SMD - 1206
19,CAPACITOR 0.01 uF SMD - 1206
20,CAPACITOR 0.015 uF SMD - 1206
21,VCA 5807
22,79L12
23,LM2575T
24,CAPACITOR 330 uF- Radial
25,IRF 511
26,CAPACITOR 345-378 Radial
27,LM385BZ-1.2
28,MC74HC595A
29,7906
30,RESISTOR 0.5 Ohm 5 WATT
31,CRYSTAL 10 MHz
32,RESISTOR 4.7 Ohm 2 WATT
33,RESISTOR 2.2 Ohm 10 WATT
34,BY299
35,UA733
36,BY218
37,AD 7507
38,PIC16F684
39,155-0109-00
40,CRYSTAL 40 Mhz
41,MIC4576BT
42,SUPERCAPACITOR 100 F 2.7 V
43,"
BF245A"
44,CAPACITOR 15 uF 450 V
45,2N5296
46,TDA2006
47,IGT4E11
48,NA5WK
